ensg	ivd ESCs (cardio)	ivd cardiomyocytes	ivd ESCs (mneu)	ivd motor neurons	ivd ESCs (ra)	ivd retinoic acid
ENSMUSG00000031959	1143.0	1505.0	465.0	416.0	968.5	575.0
ENSMUSG00000029053	668.0	184.0	457.5	1397.5	708.5	693.5
ENSMUSG00000006673	3596.0	2486.0	3768.0	3758.0	5296.0	4913.0
ENSMUSG00000005397	8987.0	10558.0	123.5	60.5	5761.5	18009.0
ENSMUSG00000062991	72.0	53.0	99.5	834.5	77.0	431.5
ENSMUSG00000028223	770.0	1566.0	526.0	643.0	358.0	353.0
ENSMUSG00000047044	1072.0	464.0	1142.0	708.5	1593.0	692.5
ENSMUSG00000048154	3033.0	2500.0	2041.0	1832.5	3786.0	4687.0
ENSMUSG00000030610	260.0	178.0	371.5	188.0	324.5	136.0
ENSMUSG00000040928	2412.0	2120.0	1373.0	1364.5	1064.0	1173.0
ENSMUSG00000005362	1735.0	1710.0	1941.5	1808.0	1473.0	1173.5
ENSMUSG00000102700	107864.0	1143.0	88873.5	354.0	69883.0	6792.5
ENSMUSG00000001794	8973.0	6411.0	4652.5	6350.0	4052.0	5406.0
ENSMUSG00000020074	2920.0	1704.0	3495.0	3765.0	2054.0	2798.5
ENSMUSG00000098650	445.0	72.0	211.0	14.0	1171.5	121.0
ENSMUSG00000040415	1224.0	1648.0	1187.5	2084.0	653.5	965.0
ENSMUSG00000036206	715.0	1626.0	999.5	1418.5	1549.0	2895.0
ENSMUSG00000001150	3329.0	1563.0	2425.5	1582.0	4621.0	2863.5
ENSMUSG00000041716	305.0	241.0	636.0	693.0	359.5	360.5
ENSMUSG00000003178	582.0	352.0	222.5	191.0	527.0	606.0
ENSMUSG00000003452	571.0	632.0	840.0	1208.5	522.5	518.0
ENSMUSG00000048450	6.0	729.0	12.0	4.0	19.0	84.0
ENSMUSG00000003929	796.0	1558.0	991.0	1525.0	674.5	654.5
ENSMUSG00000035248	871.0	1576.0	355.0	1158.5	969.0	1605.5
ENSMUSG00000064061	1284.0	2404.0	859.5	2778.0	760.0	1751.0
ENSMUSG00000032624	3644.0	4394.0	1822.0	1779.5	3345.0	3041.5
ENSMUSG00000020823	5436.0	4072.0	1001.5	2812.0	3678.5	2807.5
ENSMUSG00000005034	1077.0	4283.0	1151.5	3627.5	992.5	1467.0
ENSMUSG00000093908	241.0	15.0	304.0	72.5	402.5	127.0
ENSMUSG00000025898	1696.0	1582.0	1809.0	922.0	1601.0	910.0
ENSMUSG00000056592	48.0	46.0	65.5	527.0	41.5	73.0
ENSMUSG00000027774	2316.0	730.0	1628.5	432.0	2447.5	1238.5
ENSMUSG00000058881	2272.0	6926.0	328.5	1761.5	809.5	2429.0
ENSMUSG00000090538	2480.0	285.0	3872.5	1794.0	3402.0	2163.5
ENSMUSG00000091931	363.0	108.0	1656.0	195.0	984.0	309.0
ENSMUSG00000021890	3369.0	992.0	1318.0	493.0	3749.0	2489.0
ENSMUSG00000031555	767.0	1717.0	206.0	364.5	402.0	1595.0
ENSMUSG00000024400	2517.0	1522.0	3217.5	1910.0	2682.5	1915.5
ENSMUSG00000051238	300.0	48.0	551.0	273.0	159.5	54.0
ENSMUSG00000001229	1391.0	679.0	1816.0	1104.5	1648.0	1661.5
ENSMUSG00000054942	1654.0	1157.0	1411.5	1081.0	1216.5	1164.5
ENSMUSG00000029553	156.0	43.0	17.5	0.0	40.0	420.0
ENSMUSG00000061650	582.0	562.0	770.5	599.5	406.5	446.5
ENSMUSG00000097347	80.0	49.0	2537.0	5300.5	292.0	243.5
ENSMUSG00000020680	7661.0	2832.0	2451.5	2396.5	5925.0	4142.0
ENSMUSG00000031960	19676.0	2616.0	9631.0	6573.0	13983.0	6663.5
ENSMUSG00000038828	1505.0	1387.0	3179.5	1470.0	1838.5	3652.5
ENSMUSG00000000420	1361.0	3876.0	1526.5	2122.5	1389.0	3506.0
ENSMUSG00000066232	7955.0	4622.0	6368.5	4258.5	7294.0	4542.5
ENSMUSG00000051378	1658.0	1350.0	1565.5	233.5	1552.0	1280.5
ENSMUSG00000096921	2.0	0.0	2.0	7.5	451.5	257.5
ENSMUSG00000024097	6172.0	1845.0	8263.5	7696.0	10065.0	3752.5
