ensg	shChd4	shMcrs1	shLuc
ENSMUSG00000035232	3990.333333333334	4502.5	4161.0
ENSMUSG00000038967	146.0	32.5	44.0
ENSMUSG00000019577	218.33333333333331	210.5	382.0
ENSMUSG00000029198	5450.666666666667	10311.5	4721.5
ENSMUSG00000024580	1189.3333333333333	1118.0	781.5
ENSMUSG00000000791	24.0	11.5	17.5
ENSMUSG00000022237	162.33333333333334	221.0	134.5
ENSMUSG00000032511	31.33333333333333	39.5	28.0
ENSMUSG00000004328	525.0	206.0	304.5
ENSMUSG00000026189	964.6666666666665	779.0	1023.5
ENSMUSG00000026754	184.66666666666663	106.5	164.0
ENSMUSG00000002546	754.0	374.5	794.5
ENSMUSG00000029502	1396.0	945.5	1552.5
ENSMUSG00000038708	1603.666666666667	928.0	2160.5
ENSMUSG00000021192	1147.3333333333333	691.0	2116.5
ENSMUSG00000015341	2681.333333333333	1710.5	2977.0
ENSMUSG00000024325	409.0	336.0	363.0
ENSMUSG00000020115	580.6666666666666	341.5	310.5
ENSMUSG00000043629	1380.0	1395.5	743.0
ENSMUSG00000102887	8.0	0.5	36.0
ENSMUSG00000022557	8841.333333333334	12927.5	5852.5
ENSMUSG00000020220	1376.666666666667	977.0	1868.5
ENSMUSG00000035284	1144.3333333333333	634.5	1395.5
ENSMUSG00000037646	1448.333333333333	909.0	1956.0
ENSMUSG00000050953	5893.0	4245.0	2921.0
ENSMUSG00000048582	11.666666666666664	2.0	37.0
ENSMUSG00000050234	34.0	16.5	23.5
ENSMUSG00000037531	838.0	447.0	443.0
ENSMUSG00000032849	3007.333333333333	1711.5	2279.5
ENSMUSG00000022822	2939.0	2748.0	4419.5
ENSMUSG00000023088	1956.666666666667	2028.5	3476.0
ENSMUSG00000025194	38.333333333333336	31.0	197.0
ENSMUSG00000001983	578.3333333333334	509.5	640.0
ENSMUSG00000020328	3623.666666666666	2916.5	4928.0
ENSMUSG00000053838	6943.666666666668	8310.5	7112.0
ENSMUSG00000038736	4528.333333333333	3465.5	5669.5
ENSMUSG00000028576	2115.333333333333	1302.5	2018.5
ENSMUSG00000045302	2320.0	3021.0	2447.0
ENSMUSG00000019849	4306.0	4175.5	5659.0
ENSMUSG00000030545	353.0	137.5	303.5
ENSMUSG00000096457	113.66666666666669	0.0	0.0
ENSMUSG00000097180	170.33333333333334	289.5	114.5
ENSMUSG00000069633	59.0	70.5	24.0
ENSMUSG00000019518	508.33333333333326	587.5	389.5
ENSMUSG00000033124	757.6666666666665	477.5	418.0
ENSMUSG00000038295	195.66666666666663	150.5	201.5
ENSMUSG00000040414	974.6666666666665	1575.0	841.5
ENSMUSG00000061132	78.0	38.5	98.5
ENSMUSG00000085180	71.33333333333333	54.0	26.5
ENSMUSG00000021575	25.66666666666667	26.5	36.5
ENSMUSG00000042118	93.33333333333331	39.5	85.5
ENSMUSG00000059436	2681.6666666666665	2290.0	2273.0
ENSMUSG00000071547	6682.666666666668	5931.0	5630.5
ENSMUSG00000054027	398.66666666666674	607.5	561.0
ENSMUSG00000039480	461.33333333333326	304.0	505.5
ENSMUSG00000030678	8938.666666666666	8228.5	7090.5
ENSMUSG00000056895	45.0	276.0	52.5
ENSMUSG00000046056	30.66666666666667	127.0	44.0
ENSMUSG00000022174	5842.0	9072.5	5906.0
ENSMUSG00000049229	0.0	0.0	0.0
ENSMUSG00000061614	0.0	0.0	0.0
ENSMUSG00000058692	118.66666666666669	0.0	0.0
ENSMUSG00000059821	0.0	0.0	0.0
ENSMUSG00000048391	157.66666666666666	0.0	0.0
ENSMUSG00000004936	4483.0	3268.5	8546.0
ENSMUSG00000052299	1924.333333333333	1008.0	1522.5
ENSMUSG00000020962	785.6666666666665	790.5	981.5
ENSMUSG00000033543	1867.0	2713.0	2670.0
ENSMUSG00000033352	3967.0	4796.5	3999.5
ENSMUSG00000032396	964.3333333333335	829.5	530.5
ENSMUSG00000074768	24.33333333333333	3.0	133.0
ENSMUSG00000020892	56.0	44.0	120.0
ENSMUSG00000022887	59.66666666666666	131.0	41.5
ENSMUSG00000028979	21.33333333333333	23.0	35.5
ENSMUSG00000102758	308.0	363.0	333.5
ENSMUSG00000054999	9.0	11.5	16.5
ENSMUSG00000035184	188.0	352.5	149.5
ENSMUSG00000034574	996.0	742.0	719.5
ENSMUSG00000040260	19.666666666666668	32.5	49.5
ENSMUSG00000051341	101.66666666666669	146.0	18.0
ENSMUSG00000057409	240.66666666666663	251.0	150.5
ENSMUSG00000023892	181.66666666666663	148.0	64.0
ENSMUSG00000036036	5410.333333333333	3715.5	4348.5
ENSMUSG00000023882	1238.6666666666667	1072.0	1311.0
ENSMUSG00000025155	3152.0	3324.0	2862.5
ENSMUSG00000026857	1453.666666666667	2230.5	896.0
ENSMUSG00000020576	1295.3333333333333	1085.0	2063.0
ENSMUSG00000029860	4587.333333333333	8820.5	2960.5
ENSMUSG00000026173	103.66666666666669	374.5	172.0
ENSMUSG00000020937	595.0	1095.5	759.0
ENSMUSG00000010660	709.3333333333335	254.0	1691.5
ENSMUSG00000030298	4220.666666666667	5063.5	4457.0
ENSMUSG00000063334	2190.0	1004.0	994.0
ENSMUSG00000031711	2489.6666666666665	1959.5	3025.0
ENSMUSG00000017667	426.33333333333326	146.0	243.5
ENSMUSG00000039834	906.6666666666665	1122.5	776.5
ENSMUSG00000105888	52.0	148.5	106.0
ENSMUSG00000070990	55.0	121.0	31.5
ENSMUSG00000017548	5281.333333333333	3853.0	3528.5
ENSMUSG00000070737	63.33333333333334	49.5	44.0
ENSMUSG00000038467	4175.0	4077.5	5598.5
ENSMUSG00000033578	27.66666666666667	59.5	14.5
ENSMUSG00000026790	6122.333333333332	3677.5	6637.0
